id,title,release_date,imdb_score
41,Escape Room,Other,6.3
42,Burn After Reading,Other,7
42,The Vow,Other,6.8
42,Failure to Launch,Easter,5.6
42,We Were Soldiers,Easter,7.1
42,Don't Say a Word,Other,6.3
42,Saw IV,Other,5.9
42,The Jungle Book 2,Other,5.4
42,Mean Girls,Easter,7
42,The Other Guys,SummerVacation,6.6
42,Jupiter Ascending,Other,5.3
42,Need for Speed,Easter,6.5
42,The Secret Life of Walter Mitty,Christmas,7.3
42,Br<U+00C3><U+00BC>no,SummerVacation,5.8
42,The Descendants,Christmas,7.3
43,Evolution,SummerVacation,6.1
43,17 Again,Easter,6.3
43,Insomnia,SummerVacation,7.2
43,Unstoppable,Christmas,6.7
43,Bridge to Terabithia,Other,7.1
43,The Cat in the Hat,Christmas,3.9
43,Ray,Other,7.7
43,12 Years a Slave,Christmas,8.1
43,Cowboys & Aliens,SummerVacation,6
43,Creed,Christmas,7.6
